"Oosthuizen, Louis",1,281,"236",TRUE
"Scott, Adam",1,277,"237",FALSE
"Points, D.A.",1,281,"238",FALSE
"McIlroy, Rory",1,280,"239",FALSE
"Westwood, Lee",1,282,"240",FALSE
"Scott, Adam",1,270,"241",FALSE
"Streelman, Kevin",1,282,"242",FALSE
"Horschel, Billy",1,281,"243",FALSE
"Watson, Bubba",1,277,"244",FALSE
"Scott, Adam",1,284,"245",FALSE
"Spieth, Jordan",1,282,"246",TRUE
"Henley, Russell",1,277,"247",FALSE
"Furyk, Jim",1,281,"248",FALSE
"Clark, Tim",1,282,"249",FALSE
"Cabrera, Angel",1,280,"250",FALSE
"Spieth, Jordan",1,278,"251",FALSE
"Oosthuizen, Louis",1,273,"252",FALSE
"McIlroy, Rory",1,281,"253",TRUE
"Fowler, Rickie",1,280,"254",FALSE
"Scott, Adam",1,280,"255",FALSE
"Watney, Nick",1,277,"256",FALSE
"Poulter, Ian",1,284,"257",FALSE
"Garcia, Sergio",1,282,"258",FALSE
"Watson, Bubba",1,275,"259",FALSE
"Watney, Nick",1,278,"260",FALSE
"Schwartzel, Charl",1,279,"261",FALSE
"Kuchar, Matt",1,279,"262",FALSE
"Kirk, Chris",1,278,"263",FALSE
"Watson, Bubba",1,279,"264",FALSE
"Day, Jason",1,278,"265",FALSE
"Stenson, Henrik",1,284,"266",TRUE
"Mahan, Hunter",1,278,"267",FALSE
"Day, Jason",1,278,"268",FALSE
"Spieth, Jordan",1,284,"269",TRUE
"Snedeker, Brandt",1,282,"270",TRUE
"Dubuisson, Victor",1,277,"271",FALSE
"Spieth, Jordan",1,280,"272",TRUE
"Scott, Adam",1,279,"273",FALSE
"Mickelson, Phil",1,281,"274",TRUE
"Poulter, Ian",1,279,"275",FALSE
"Garcia, Sergio",1,284,"276",FALSE
"Stenson, Henrik",1,278,"277",FALSE
"Scott, Adam",1,278,"278",TRUE
"Johnson, Zach",1,280,"279",FALSE
"Poulter, Ian",1,278,"280",FALSE
"Jimenez, Miguel Angel",1,282,"281",FALSE
"Moore, Ryan",1,282,"282",FALSE
"McIlroy, Rory",1,280,"283",TRUE
"Rose, Justin",1,280,"284",FALSE
"Johnson, Zach",1,280,"285",FALSE
"Rose, Justin",1,280,"286",TRUE
"Dufner, Jason",1,281,"287",FALSE
"Poulter, Ian",1,284,"288",FALSE
"Watney, Nick",1,281,"289",FALSE
"de Jonge, Brendon",1,278,"290",FALSE
"Stenson, Henrik",1,281,"291",TRUE
"Day, Jason",1,279,"292",FALSE
"Stenson, Henrik",1,280,"293",FALSE
"Kuchar, Matt",1,279,"294",FALSE
"Fdez-Castano, Gonzalo",1,282,"295",FALSE
"Mahan, Hunter",1,280,"296",FALSE
"Simpson, Webb",1,280,"297",FALSE
"Molinari, Francesco",1,278,"298",FALSE
"Johnson, Zach",1,278,"299",FALSE
"Poulter, Ian",1,279,"300",FALSE
"McIlroy, Rory",1,280,"301",FALSE
"Spieth, Jordan",1,277,"302",FALSE
"Haas, Bill",1,283,"303",TRUE
"Clark, Tim",1,281,"304",FALSE
"Hanson, Peter",1,278,"305",FALSE
"Matsuyama, Hideki",1,277,"306",FALSE
"Matsuyama, Hideki",1,280,"307",FALSE
"Poulter, Ian",1,282,"308",FALSE
"Hanson, Peter",1,279,"309",FALSE
"Scott, Adam",1,279,"310",FALSE
"Schwartzel, Charl",1,281,"311",FALSE
"Mahan, Hunter",1,279,"312",FALSE
"Schwartzel, Charl",1,280,"313",FALSE
"Johnson, Dustin",1,279,"314",FALSE
"Bjorn, Thomas",1,278,"315",FALSE
"Schwartzel, Charl",1,278,"316",FALSE
"Spieth, Jordan",1,280,"317",FALSE
"Scott, Adam",1,280,"318",FALSE
"McIlroy, Rory",1,280,"319",TRUE
"Scott, Adam",1,279,"320",FALSE
"Johnson, Zach",1,278,"321",FALSE
"Scott, Adam",1,278,"322",FALSE
"de Jonge, Brendon",1,277,"323",TRUE
"Horschel, Billy",1,277,"324",FALSE
"Stricker, Steve",1,279,"325",FALSE
"Watney, Nick",1,278,"326",FALSE
"Simpson, Webb",1,278,"327",FALSE
"Johnson, Zach",1,281,"328",FALSE
"Mickelson, Phil",1,281,"329",FALSE
"Rose, Justin",1,280,"330",FALSE
"DeLaet, Graham",1,276,"331",FALSE
"Johnson, Zach",1,277,"332",FALSE
"Glover, Lucas",1,282,"333",TRUE
"Spieth, Jordan",1,282,"334",TRUE
"Rose, Justin",1,278,"335",TRUE
"Jimenez, Miguel Angel",1,279,"336",FALSE
"Westwood, Lee",1,279,"337",FALSE
"Scott, Adam",1,280,"338",FALSE
"Rose, Justin",1,276,"339",FALSE
"Senden, John",1,280,"340",TRUE
"Every, Matt",1,282,"341",FALSE
"Manassero, Matteo",1,283,"342",FALSE
"Kuchar, Matt",1,275,"343",TRUE
"Walker, Jimmy",1,284,"344",TRUE
"Matsuyama, Hideki",1,277,"345",FALSE
"Kaymer, Martin",1,283,"346",FALSE
"Stadler, Kevin",1,282,"347",FALSE
"Stricker, Steve",1,281,"348",FALSE
"Clark, Tim",1,280,"349",FALSE
"Furyk, Jim",1,278,"350",FALSE
"Westwood, Lee",1,278,"351",FALSE
"Woodland, Gary",1,282,"352",FALSE
"Stenson, Henrik",1,282,"353",FALSE
"Jimenez, Miguel Angel",1,279,"354",TRUE
"Rose, Justin",1,278,"355",FALSE
"Johnson, Dustin",1,277,"356",FALSE
"Day, Jason",1,280,"357",FALSE
"Day, Jason",1,280,"358",FALSE
"Day, Jason",1,280,"359",FALSE
"Stenson, Henrik",1,281,"360",FALSE
"Kuchar, Matt",1,280,"361",FALSE
"Day, Jason",1,280,"362",FALSE
"Oosthuizen, Louis",1,281,"363",FALSE
"Streelman, Kevin",1,281,"364",FALSE
"Woodland, Gary",1,279,"365",FALSE
"Day, Jason",1,273,"366",FALSE
"Weekley, Boo",1,283,"367",TRUE
"Lynn, David",1,276,"368",FALSE
"Rose, Justin",1,282,"369",FALSE
"Furyk, Jim",1,283,"370",FALSE
"Johnson, Zach",1,279,"371",FALSE
"Snedeker, Brandt",1,278,"372",FALSE
"Scott, Adam",1,277,"373",FALSE
"Garcia, Sergio",1,282,"374",TRUE
"Johnson, Dustin",1,282,"375",FALSE
"Spieth, Jordan",1,281,"376",TRUE
"Johnson, Dustin",1,281,"377",FALSE
"Snedeker, Brandt",1,280,"378",FALSE
"Donaldson, Jamie",1,279,"379",FALSE
"Fowler, Rickie",1,276,"380",FALSE
"Scott, Adam",1,275,"381",FALSE
"Rose, Justin",1,282,"382",FALSE
"Rose, Justin",1,280,"383",TRUE
"Johnson, Dustin",1,279,"384",FALSE
"Walker, Jimmy",1,279,"385",FALSE
"Horschel, Billy",1,278,"386",FALSE
"Garcia, Sergio",1,281,"387",FALSE
"Mickelson, Phil",1,282,"388",FALSE
"Rose, Justin",1,279,"389",FALSE
"Moore, Ryan",1,280,"390",FALSE
"Cabrera, Angel",1,278,"391",FALSE
"DeLaet, Graham",1,277,"392",FALSE
"Day, Jason",1,281,"393",TRUE
"Westwood, Lee",1,279,"394",TRUE
"Snedeker, Brandt",1,278,"395",FALSE
"Bjorn, Thomas",1,279,"396",FALSE
"Mickelson, Phil",1,277,"397",FALSE
"Spieth, Jordan",1,279,"398",FALSE
"Mickelson, Phil",1,279,"399",FALSE
"Day, Jason",1,278,"400",FALSE
"Els, Ernie",1,282,"401",FALSE
"Hanson, Peter",1,280,"402",FALSE
"Bradley, Keegan",1,282,"403",TRUE
"Dubuisson, Victor",1,278,"404",FALSE
"Rose, Justin",1,278,"405",FALSE
"Yang, Y.E.",1,283,"406",TRUE
"Spieth, Jordan",1,281,"407",FALSE
"Day, Jason",1,278,"408",FALSE
"Els, Ernie",1,277,"409",FALSE
"Choi, K.J.",1,282,"410",TRUE
"Snedeker, Brandt",1,277,"411",FALSE
"Scott, Adam",1,280,"412",FALSE
"McIlroy, Rory",1,278,"413",FALSE
"Every, Matt",1,279,"414",FALSE
"Fowler, Rickie",1,280,"415",FALSE
"Dufner, Jason",1,282,"416",FALSE
"Day, Jason",1,280,"417",TRUE
"Day, Jason",1,280,"418",FALSE
"McIlroy, Rory",1,284,"419",FALSE
"Watson, Bubba",1,279,"420",FALSE
"Immelman, Trevor",1,279,"421",FALSE
"Day, Jason",1,276,"422",FALSE
"McDowell, Graeme",1,281,"423",FALSE
"Bradley, Keegan",1,279,"424",FALSE
"Dufner, Jason",1,281,"425",FALSE
"Day, Jason",1,281,"426",FALSE
"Castro, Roberto",1,277,"427",FALSE
"Spieth, Jordan",1,281,"428",FALSE
"Huh, John",1,282,"429",FALSE
"Clarke, Darren",1,282,"430",FALSE
"Bae, Sangmoon",1,286,"431",TRUE
"Day, Jason",1,279,"432",FALSE
"Watney, Nick",1,282,"433",FALSE
"Spieth, Jordan",1,279,"434",FALSE
"Rose, Justin",1,281,"435",FALSE
"Day, Jason",1,285,"436",TRUE
"Henley, Russell",1,281,"437",FALSE
"Scott, Adam",1,280,"438",FALSE
"Spieth, Jordan",1,281,"439",FALSE
"Westwood, Lee",1,280,"440",FALSE
"Scott, Adam",1,282,"441",FALSE
"Garcia, Sergio",1,277,"442",FALSE
"Molinari, Francesco",1,282,"443",FALSE
"Stenson, Henrik",1,280,"444",TRUE
"Westwood, Lee",1,281,"445",FALSE
"McIlroy, Rory",1,276,"446",FALSE
"McIlroy, Rory",1,278,"447",FALSE
"Stenson, Henrik",1,282,"448",TRUE
"Watson, Bubba",1,281,"449",FALSE
"Day, Jason",1,282,"450",TRUE
"Watson, Bubba",1,279,"451",FALSE
"Garcia, Sergio",1,278,"452",FALSE
"Rose, Justin",1,278,"453",FALSE
"Rose, Justin",1,280,"454",FALSE
"McDowell, Graeme",1,283,"455",FALSE
"Day, Jason",1,276,"456",FALSE
"Stenson, Henrik",1,283,"457",FALSE
"Stenson, Henrik",1,279,"458",FALSE
"Spieth, Jordan",1,277,"459",FALSE
"Stenson, Henrik",1,283,"460",FALSE
"Couples, Fred",1,280,"461",FALSE
"Stenson, Henrik",1,279,"462",FALSE
"Dufner, Jason",1,280,"463",FALSE
"Rose, Justin",1,280,"464",FALSE
"Scott, Adam",1,282,"465",FALSE
"Schwartzel, Charl",1,277,"466",FALSE
"Watney, Nick",1,279,"467",FALSE
"Stenson, Henrik",1,282,"468",FALSE
"Spieth, Jordan",1,277,"469",FALSE
"Spieth, Jordan",1,279,"470",FALSE
"Watson, Bubba",1,279,"471",FALSE
"Scott, Adam",1,278,"472",FALSE
"Streelman, Kevin",1,279,"473",FALSE
"Dufner, Jason",1,280,"474",FALSE
"Westwood, Lee",1,277,"475",FALSE
"Fowler, Rickie",1,281,"476",TRUE
"Westwood, Lee",1,277,"477",FALSE
"Watney, Nick",1,280,"478",FALSE
"Matsuyama, Hideki",1,281,"479",FALSE
"Jimenez, Miguel Angel",1,280,"480",FALSE
"Cabrera, Angel",1,281,"481",TRUE
"Blixt, Jonas",1,281,"482",FALSE
"Watney, Nick",1,280,"483",FALSE
"Stenson, Henrik",1,281,"484",FALSE
"Dubuisson, Victor",1,276,"485",FALSE
"Garcia, Sergio",1,279,"486",FALSE
"Watney, Nick",1,283,"487",TRUE
"Walker, Jimmy",1,279,"488",FALSE
"Rose, Justin",1,275,"489",FALSE
"Simpson, Webb",1,273,"490",FALSE
"DeLaet, Graham",1,274,"491",FALSE
"Haas, Bill",1,277,"492",FALSE
"Dubuisson, Victor",1,280,"493",FALSE
"Jimenez, Miguel Angel",1,280,"494",FALSE
"Scott, Adam",1,275,"495",FALSE
"Snedeker, Brandt",1,281,"496",FALSE
"Kuchar, Matt",1,271,"497",FALSE
"Walker, Jimmy",1,282,"498",FALSE
"Jimenez, Miguel Angel",1,279,"499",FALSE
"Senden, John",1,279,"500",FALSE
"Rose, Justin",1,276,"501",FALSE
"Immelman, Trevor",1,280,"502",FALSE
