"","name","rank","friday","sunday","simulationID"
"7212","DeChambeau, Bryson",63,148,NA,"5003"
"7932","Donaldson, Jamie",72,151,NA,"5003"
"8652","Dubuisson, Victor",65,149,NA,"5003"
"9372","Dufner, Jason",70,150,NA,"5003"
"10092","Els, Ernie",39,144,290,"5003"
"10812","English, Harris",13,144,282,"5003"
"11532","Fitzpatrick, Matthew",49,144,291,"5003"
"12252","Fowler, Rickie",18,142,285,"5003"
"12972","Garcia, Sergio",13,143,282,"5003"
"13692","Gomez, Fabian",65,149,NA,"5003"
"14412","Grace, Branden",39,144,290,"5003"
"15132","Grillo, Emiliano",22,141,286,"5003"
"15852","Haas, Bill",34,147,289,"5003"
"16572","Herman, Jim",39,144,290,"5003"
"17292","Hoffman, Charley",22,141,286,"5003"
"18012","Holmes, J.B.",22,140,286,"5003"
"18732","Horschel, Billy",39,146,290,"5003"
"19452","Immelman, Trevor",72,151,NA,"5003"
"20172","Jaidee, Thongchai",65,149,NA,"5003"
"20892","Johnson, Dustin",5,138,278,"5003"
"21612","Johnson, Zach",7,141,279,"5003"
"22332","Kaufman, Smylie",18,147,285,"5003"
"23052","Kaymer, Martin",16,143,284,"5003"
"23772","Kirk, Chris",70,150,NA,"5003"
"24492","Kisner, Kevin",10,141,281,"5003"
"25212","Kjeldsen, Soren",55,143,294,"5003"
"25932","Knox, Russell",65,149,NA,"5003"
"26652","Koepka, Brooks",39,144,290,"5003"
"27372","Kuchar, Matt",49,144,291,"5003"
"28092","Lahiri, Anirban",28,138,287,"5003"
"28812","Langer, Bernhard",55,145,294,"5003"
"29532","Lee, Danny",7,140,279,"5003"
"30252","Leishman, Marc",18,144,285,"5003"
"30972","Lingmerth, David",54,147,293,"5003"
"31692","Love III, Davis",39,145,290,"5003"
"32412","Lowry, Shane",30,141,288,"5003"
"33132","Mahan, Hunter",62,146,298,"5003"
"33852","Matsuyama, Hideki",22,145,286,"5003"
"34572","McDowell, Graeme",4,139,276,"5003"
"35292","McIlroy, Rory",13,144,282,"5003"
"36012","Merritt, Troy",78,154,NA,"5003"
"36732","Mickelson, Phil",30,146,288,"5003"
"37452","Moore, Ryan",1,137,272,"5003"
"38172","Na, Kevin",34,146,289,"5003"
"38892","Oosthuizen, Louis",30,145,288,"5003"
"39612","Piercy, Scott",39,141,290,"5003"
"40332","Poulter, Ian",76,152,NA,"5003"
"41052","Reed, Patrick",65,149,NA,"5003"
"41772","Rose, Justin",5,143,278,"5003"
"42492","Schwartzel, Charl",77,153,NA,"5003"
"43212","Scott, Adam",39,144,290,"5003"
"43932","Simpson, Webb",58,147,295,"5003"
"44652","Singh, Vijay",39,145,290,"5003"
"45372","Smith, Cameron",59,145,296,"5003"
"46092","Snedeker, Brandt",55,147,294,"5003"
"46812","Spieth, Jordan",3,137,275,"5003"
"47532","Stenson, Henrik",2,139,273,"5003"
"48252","Streb, Robert",18,141,285,"5003"
"48972","Streelman, Kevin",9,141,280,"5003"
"49692","Sullivan, Andy",49,142,291,"5003"
"50412","Taylor, Vaughn",16,139,284,"5003"
"51132","Thomas, Justin",22,141,286,"5003"
"51852","Walker, Jimmy",28,141,287,"5003"
"52572","Watson, Bubba",10,146,281,"5003"
"53292","Weir, Mike",60,147,297,"5003"
"54012","Westwood, Lee",72,151,NA,"5003"
"54732","Wiesberger, Bernd",60,144,297,"5003"
"55452","Willett, Danny",34,146,289,"5003"
"56172","Wood, Chris",30,145,288,"5003"
"13","An, Byeong Hun",39,144,291,"5004"
"733","Aphibarnrat, Kiradech",60,149,NA,"5004"
"1453","Berger, Daniel",22,146,286,"5004"
"2173","Bowditch, Steven",66,150,NA,"5004"
"2893","Bradley, Keegan",60,149,NA,"5004"
"3613","Cabrera Bello, Rafa",6,141,280,"5004"
"4333","Cabrera, Angel",66,150,NA,"5004"
"5053","Casey, Paul",22,143,286,"5004"
"5773","Clarke, Darren",51,146,298,"5004"
"6493","Day, Jason",33,145,288,"5004"
"7213","DeChambeau, Bryson",33,147,288,"5004"
"7933","Donaldson, Jamie",37,143,289,"5004"
"8653","Dubuisson, Victor",77,153,NA,"5004"
"9373","Dufner, Jason",73,152,NA,"5004"
