name,modranks,prob,sg.approach,sg.around,sg.tee,sg.putt,sg.total,score,rank,owgr.April,owgr.Feb,actualrank,year,vegasranks
"Fitzpatrick, Matthew",56,0.0045,-0.016,0.04990909,-0.4054545,0.6904545,0.3189091,292,31,3.2225,NA,31,2017,20
"Knox, Russell",57,0.0043,0.1373103,0.02018966,0.1427241,-0.05063793,0.2495862,152,58,3.5574,NA,58,2017,46
"Furyk, Jim",58,0.0042,0.3863333,0.1704,-0.2737333,0.2131333,0.4961333,151,50,2.2535,NA,50,2017,47
"Kisner, Kevin",59,0.0036,0.1580448,-0.1791194,0.1654776,0.6727761,0.8171791,296,41,2.9979,NA,41,2017,37
"Vegas, Jhonattan",60,0.0034,0.119625,-0.0720375,0.4385125,-0.0744625,0.4116375,154,71,2.2787,NA,71,2017,60
"Kjeldsen, Soren",61,0.0033,0.2235263,0.007263158,-0.4838947,0.527,0.2738947,294,35,2.2042,NA,35,2017,52
"Swafford, Hudson",61,0.0033,0.2399545,-0.4738864,0.5180568,0.1685341,0.4526591,153,67,1.8821,NA,67,2017,60
"Tanihara, Hideto",63,0.0032,0.457,0.649,-0.1553333,-0.1126667,0.838,156,75,2.5473,NA,75,2017,60
"Na, Kevin",64,0.0031,0.5138088,0.07817647,-0.3559853,0.1688676,0.4048676,151,50,2.4947,NA,50,2017,47
"Stricker, Steve",65,0.0029,0.1431714,0.6336,-0.1828,0.1301714,0.7241429,288,16,1.3376,NA,16,2017,60
"Hahn, James",66,0.0028,-0.04411688,-0.005948052,0.2235844,0.01368831,0.1872078,298,45,1.7717,NA,45,2017,71
"Stuard, Brian",67,0.0019,0.02130233,0.1221047,-0.07313954,-0.1035349,-0.03326744,294,35,1.1294,NA,35,2017,71
"Hurley III, Billy",68,0.0017,0.2540959,0.02189041,-0.2826986,0.4342877,0.4275753,151,50,1.164,NA,50,2017,71
"Summerhays, Daniel",68,0.0017,-0.4301974,0.1393947,-0.07543421,0.4721579,0.1059211,297,44,1.6168,NA,44,2017,71
"Singh, Vijay",70,0.0015,-0.0169434,0.1959434,0.06096226,-0.3534528,-0.1134906,153,67,0.7174,NA,67,2017,71
"Noren, Alex",71,0.0014,-0.5085,0.3835,-0.6455,0.8745,0.104,152,58,5.0827,NA,58,2017,40
"Wood, Chris",71,0.0014,0.3818,-0.4338,-0.6138,0.8914,0.2256,151,50,2.2485,NA,50,2017,66
"Castro, Roberto",73,0.0013,0.4511429,0.05042857,0.1601429,-0.1648571,0.4968571,157,78,1.6345,NA,78,2017,71
"Ikeda, Yuta",73,0.0013,-0.985,-0.1745,-0.1825,1.195,-0.147,151,50,2.7105,NA,50,2017,71
"Kim, Si Woo",73,0.0013,-0.406825,0.4372125,-0.1027125,-0.2310875,-0.3034125,156,75,1.9969,NA,75,2017,71
"Hughes, Mackenzie",76,0.001,-0.2944167,-0.05616667,-0.1346667,0.4785,-0.00675,159,80,1.3065,NA,80,2017,71
"Sullivan, Andy",77,8E-04,0.03085714,0.2002857,-0.08771429,0.3304286,0.4738571,298,45,2.2659,NA,45,2017,57
"Wang, Jeunghun",78,7E-04,-0.8808,-0.612,-0.383,0.5544,-1.3214,156,75,2.5511,NA,75,2017,66
"Els, Ernie",79,5E-04,-0.3385472,-0.1535849,-0.09462264,0.4749057,-0.1118491,308,49,0.4147,NA,49,2017,66
"Immelman, Trevor",80,3E-04,-1.478786,0.1394286,-0.5942143,-0.08578571,-2.019357,155,73,0,NA,73,2017,85
"Johnson, Dustin",,,0.539192982,0.236578947,1.175947368,0.308964912,2.260684209,,,12.9269,NA,,2017,1
