name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,rtp_score_grouped,time,no_masters_category,Level,Mu,Mu (no blups),P
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,.,12,1,3,0.00398,0.00389,0.00398
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,.,12,1,2,0.03134,0.03063,0.03134
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,.,12,1,1,0.27611,0.27141,0.27611
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,.,12,1,0,0.90113,0.899,0.90113
"An, Byeong Hun",2016,6,180,2,3,4,1,0.212,2,.,12,1,-1,0.9975,0.99744,0.9975
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,.,12,1,3,0.00728,0.00711,0.00728
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,.,12,1,2,0.05605,0.05481,0.05605
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,.,12,1,1,0.41172,0.40601,0.41172
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,.,12,1,0,0.94358,0.94231,0.94358
"An, Byeong Hun",2016,7,450,2,4,5,1,0.212,2,.,12,1,-1,0.99864,0.99861,0.99864
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,.,12,1,3,0.00062,0.0006,0.00062
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,.,12,1,2,0.00496,0.00485,0.00496
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,.,12,1,1,0.05554,0.05431,0.05554
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,.,12,1,0,0.58422,0.57847,0.58422
"An, Byeong Hun",2016,8,570,2,5,5,0,0.212,2,.,12,1,-1,0.98403,0.98365,0.98403
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,.,12,1,3,0.00279,0.00272,0.00279
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,.,12,1,2,0.02215,0.02164,0.02215
"An, Byeong Hun",2016,9,460,2,4,4,0,0.212,2,.,12,1,1,0.21074,0.20684,0.21074
