name,year,hole,yardage,round,par,score,rtp_score,fairway,green,bunker,sand_save,scrambling,putts,par3,par4,par5,sg_approach,sg_around,sg_tee,sg_putt,sg_total,total_score,no_holes,avg_round_score,rank,no_masters,OWGR_april,OWGR_feb,rtp_score_grouped,time,round_hole,round_hole_time,round_year,no_masters_category,performance_by_par,OWGR_change,Level,P(w/ player effects),P(w/o player effects)
"An, Byeong Hun",2016,9,460,1,4,4,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,9,117,2016,1,4.09,-0.1134,1,0.20371,0.20371
"An, Byeong Hun",2016,9,460,1,4,4,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,9,117,2016,1,4.09,-0.1134,0,0.84814,0.84814
"An, Byeong Hun",2016,9,460,1,4,4,0,0,0,1,1,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,9,117,2016,1,4.09,-0.1134,-1,0.99572,0.99572
"An, Byeong Hun",2016,10,495,1,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,2016,1,4.09,-0.1134,2,0.031,0.031
"An, Byeong Hun",2016,10,495,1,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,2016,1,4.09,-0.1134,1,0.26688,0.26688
"An, Byeong Hun",2016,10,495,1,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,2016,1,4.09,-0.1134,0,0.88824,0.88824
"An, Byeong Hun",2016,10,495,1,4,4,0,1,1,0,0,-1,2,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,10,130,2016,1,4.09,-0.1134,-1,0.99699,0.99699
"An, Byeong Hun",2016,11,505,1,4,4,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,11,143,2016,1,4.09,-0.1134,2,0.0417,0.0417
"An, Byeong Hun",2016,11,505,1,4,4,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,11,143,2016,1,4.09,-0.1134,1,0.33119,0.33119
"An, Byeong Hun",2016,11,505,1,4,4,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,11,143,2016,1,4.09,-0.1134,0,0.91533,0.91533
"An, Byeong Hun",2016,11,505,1,4,4,0,0,0,0,0,1,1,3.03,4.09,4.73,0.035,-0.09,0.326,-0.059,0.212,151,36,75.5,54.5,2,3.2279,3.3413,.,12,11,143,2016,1,4.09,-0.1134,-1,0.99778,0.99778
