name,modranks,prob,run
"Matsuyama, Hideki",5,0.0423,6
"McGirt, William",58,0.0019,6
"McIlroy, Rory",2,0.1231,6
"Mickelson, Phil",13,0.0167,6
"Molinari, Francesco",23,0.0087,6
"Moore, Ryan",34,0.0057,6
"Na, Kevin",52,0.0027,6
"Noren, Alex",62,0.0015,6
"O'Hair, Sean",48,0.0031,6
"Oosthuizen, Louis",27,0.0075,6
"Pampling, Rod",56,0.002,6
"Perez, Pat",50,0.003,6
"Piercy, Scott",47,0.0035,6
"Pieters, Thomas",51,0.0028,6
"Rahm, Jon",8,0.0318,6
"Reed, Patrick",39,0.0042,6
"Rose, Justin",6,0.0377,6
"Schwartzel, Charl",39,0.0042,6
"Scott, Adam",17,0.0112,6
"Simpson, Webb",62,0.0015,6
"Singh, Vijay",79,0.00E+00,6
"Snedeker, Brandt",20,0.0093,6
"Spieth, Jordan",3,0.0538,6
"Steele, Brendan",35,0.0051,6
"Stenson, Henrik",21,0.0091,6
"Stricker, Steve",58,0.0019,6
"Stuard, Brian",75,4.00E-04,6
"Sullivan, Andy",41,0.0041,6
"Summerhays, Daniel",68,0.0012,6
"Swafford, Hudson",38,0.0046,6
"Tanihara, Hideto",67,0.0013,6
"Thomas, Justin",10,0.0224,6
"Vegas, Jhonattan",52,0.0027,6
"Walker, Jimmy",54,0.0023,6
"Wang, Jeunghun",75,4.00E-04,6
"Watson, Bubba",36,0.0047,6
"Westwood, Lee",70,9.00E-04,6
"Wiesberger, Bernd",36,0.0047,6
"Willett, Danny",77,3.00E-04,6
"Wood, Chris",55,0.0021,6
"Woodland, Gary",28,0.0074,6
"An, Byeong Hun",44,0.0038,7
"Berger, Daniel",24,0.0087,7
"Cabrera, Angel",31,0.0067,7
"Cabrera-Bello, Rafael",60,0.0017,7
"Casey, Paul",19,0.0096,7
"Castro, Roberto",68,0.0011,7
"Chappell, Kevin",78,3.00E-04,7
"Day, Jason",9,0.0239,7
"Dufner, Jason",35,0.0054,7
"Els, Ernie",74,5.00E-04,7
"Fisher, Ross",12,0.0183,7
"Fitzpatrick, Matthew",46,0.0037,7
"Fleetwood, Tommy",10,0.0231,7
"Fowler, Rickie",4,0.0483,7
"Furyk, Jim",53,0.0024,7
"Garcia, Sergio",13,0.0161,7
"Grace, Branden",57,0.0018,7
"Grillo, Emiliano",36,0.0053,7
"Haas, Bill",30,0.008,7
"Hadwin, Adam",20,0.009,7
"Hahn, James",60,0.0017,7
"Hatton, Tyrrell",7,0.0289,7
"Henley, Russell",17,0.0113,7
"Hoffman, Charley",31,0.0067,7
"Holmes, J.B.",29,0.0082,7
"Hughes, Mackenzie",76,4.00E-04,7
"Hurley III, Billy",72,6.00E-04,7
"Ikeda, Yuta",69,8.00E-04,7
"Johnson, Dustin",1,0.2351,7
"Johnson, Zach",48,0.0031,7
"Kaymer, Martin",37,0.0051,7
"Kim, Si Woo",80,0.00E+00,7
"Kisner, Kevin",25,0.0085,7
"Kjeldsen, Soren",66,0.0013,7
"Knox, Russell",74,5.00E-04,7
"Koepka, Brooks",47,0.0033,7
"Kuchar, Matt",21,0.0088,7
"Leishman, Marc",15,0.014,7
"Lowry, Shane",21,0.0088,7
