name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,Level,Mu,Mu.no.bulps,P
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,2,0.0495,0.04758,0.0495
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,1,0.37346,0.3638,0.37346
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,0,0.92924,0.92646,0.92924
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,-1,0.99819,0.99812,0.99819
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,3,0.00562,0.0054,0.00562
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,2,0.04333,0.04164,0.04333
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,1,0.3414,0.33213,0.3414
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,0,0.91949,0.91636,0.91949
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,-1,0.99792,0.99783,0.99792
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,3,0.00086,0.00083,0.00086
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,2,0.00685,0.00657,0.00685
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,1,0.07313,0.07037,0.07313
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,0,0.63482,0.62514,0.63482
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,-1,0.98651,0.98594,0.98651
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,3,0.00363,0.00348,0.00363
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,2,0.02833,0.02721,0.02833
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,1,0.25019,0.24249,0.25019
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,0,0.88026,0.87582,0.88026
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,-1,0.99678,0.99664,0.99678
